danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
0.667,0.0123,0.83,0.0,0.191,0.701,-5.715,0.0749,113.03
0.647,0.219,0.822,0.0,0.0908,0.962,-4.662,0.183,160.019
0.62,0.332,0.832,0.0,0.104,0.481,-4.848,0.036,144.926
0.448,0.21,0.838,0.000131,0.131,0.254,-5.257,0.0557,139.863
0.673,0.185,0.886,0.0,0.0826,0.795,-4.44,0.0431,97.012
0.686,0.595,0.457,0.0,0.105,0.718,-8.322,0.0468,150.953
0.512,0.0275,0.662,0.0,0.118,0.472,-6.797,0.0439,180.114
0.774,0.152,0.753,0.0,0.0371,0.896,-5.446,0.0517,119.002
0.702,0.00883,0.825,0.0,0.0674,0.915,-3.787,0.0601,102.977
0.709,0.0315,0.739,0.0,0.0381,0.613,-5.59,0.0569,123.007
0.746,0.0112,0.765,0.0,0.0936,0.737,-4.41,0.0993,114.044
0.807,0.0573,0.887,2.87e-06,0.124,0.961,-3.726,0.0503,134.052
0.56,0.0239,0.872,6.98e-06,0.371,0.682,-4.269,0.14,126.05
0.562,0.046,0.939,0.0,0.112,0.684,-4.282,0.0475,116.044
0.818,0.034,0.803,0.0,0.153,0.632,-4.282,0.0797,106.97
0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39
0.691,0.487,0.823,0.0,0.134,0.87,-4.197,0.0623,123.935
0.748,0.0591,0.788,0.0,0.0863,0.884,-7.055,0.0334,120.076
0.782,0.166,0.685,1.18e-05,0.16,0.603,-6.237,0.0309,118.016
0.767,0.234,0.481,0.0,0.269,0.761,-8.52,0.0803,150.076
0.636,0.0294,0.831,3.85e-06,0.272,0.668,-3.945,0.182,175.015
0.837,0.103,0.515,0.0,0.233,0.769,-4.065,0.0793,129.001
0.726,0.009,0.787,0.0,0.0596,0.888,-2.494,0.0737,124.99
0.72,0.0384,0.791,0.0,0.157,0.756,-4.689,0.124,102.071
0.426,0.0383,0.584,0.0,0.192,0.272,-5.293,0.296,193.438
0.471,0.00301,0.924,0.0,0.313,0.725,-3.906,0.0586,154.961
0.719,0.0372,0.671,8.21e-06,0.12,0.786,-6.279,0.0336,130.027
0.56,0.00847,0.936,0.0,0.161,0.371,-5.835,0.0439,112.96
0.409,0.000807,0.892,0.0,0.207,0.651,-4.373,0.0336,174.426
0.482,0.0111,0.873,0.0,0.409,0.737,-3.145,0.0853,165.084
0.783,0.0114,0.58,2.28e-06,0.108,0.66,-6.548,0.0408,120.021
0.743,0.0188,0.752,0.0,0.287,0.545,-4.813,0.0414,110.015
0.79,0.275,0.629,6.78e-05,0.174,0.64,-7.285,0.0428,107.025
0.56,0.000722,0.959,0.000221,0.209,0.669,-2.433,0.102,163.983
0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975
0.715,0.00351,0.872,3.84e-05,0.107,0.748,-3.835,0.0509,93.043
0.652,0.00112,0.698,0.000115,0.0886,0.47,-4.667,0.042,96.021
0.762,0.15,0.661,0.0,0.256,0.769,-6.075,0.0687,130.009
0.731,0.125,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488
0.484,0.431,0.731,0.0,0.151,0.51,-6.694,0.0379,101.654
0.769,0.66,0.479,0.0,0.0914,0.803,-5.339,0.0385,96.051
0.714,0.0883,0.451,0.0,0.108,0.406,-8.268,0.0276,127.787
0.674,0.0469,0.778,0.0,0.145,0.816,-5.367,0.0376,90.01
0.578,0.00701,0.866,0.0,0.257,0.619,-3.804,0.0619,128.038
0.805,0.111,0.627,0.0,0.745,0.653,-7.086,0.0638,119.978
0.49,0.00218,0.885,0.0,0.0741,0.64,-4.121,0.0396,166.996
0.713,0.0377,0.676,0.0,0.154,0.721,-5.483,0.027,99.048
0.705,0.214,0.827,0.00084,0.121,0.715,-4.812,0.0286,111.963
0.663,0.0542,0.857,0.0,0.144,0.931,-2.16,0.0544,126.039
0.589,0.03,0.966,0.0,0.147,0.802,-4.106,0.0972,129.983
0.574,0.234,0.512,0.0,0.0946,0.512,-6.664,0.0503,76.899
0.627,0.563,0.703,0.0,0.0962,0.64,-4.884,0.236,81.897
0.734,0.168,0.874,1.14e-05,0.0489,0.905,-3.158,0.0662,122.953
0.647,0.0647,0.8,0.0,0.334,0.942,-5.384,0.165,160.078
0.628,0.00957,0.676,2.65e-05,0.121,0.75,-5.911,0.0916,85.984
0.656,0.25,0.767,0.0,0.114,0.871,-3.038,0.0396,163.834
0.776,0.0343,0.875,0.0,0.314,0.849,-5.535,0.0575,111.988
0.799,0.162,0.586,2.03e-06,0.193,0.549,-6.735,0.0377,120.97
0.73,0.109,0.703,0.0,0.0657,0.595,-5.672,0.0369,138.113
0.571,0.00209,0.957,1.5e-05,0.0425,0.892,-3.468,0.0633,149.946
0.713,0.0435,0.802,0.00377,0.309,0.343,-7.055,0.0561,100.001
0.355,0.00119,0.918,0.0,0.0971,0.24,-4.36,0.0746,148.114
0.68,0.0694,0.666,0.0,0.157,0.789,-6.953,0.115,151.995
0.742,0.0205,0.713,0.0,0.059,0.879,-5.522,0.0303,120.032
0.457,0.00144,0.823,0.0,0.108,0.578,-4.76,0.311,192.205
0.617,0.000451,0.906,0.0,0.0716,0.807,-4.822,0.0311,119.016
0.767,0.0113,0.682,0.00016,0.104,0.833,-5.02,0.042,127.975
0.66,0.11,0.867,0.0,0.0368,0.377,-4.285,0.116,93.033
0.652,0.00125,0.812,3.01e-05,0.667,0.72,-3.797,0.0409,126.023
0.654,0.025,0.877,0.0,0.0699,0.561,-2.988,0.045,118.499
0.638,0.141,0.832,0.0,0.113,0.648,-5.039,0.049,124.071
0.694,0.132,0.712,0.0,0.211,0.799,-3.923,0.046,98.023
0.652,0.0848,0.749,0.0,0.604,0.651,-5.248,0.0886,94.103
0.738,0.332,0.804,0.0,0.279,0.949,-3.851,0.0621,174.943
0.781,0.474,0.445,0.0,0.184,0.591,-6.061,0.0295,78.998
0.665,0.0767,0.759,0.0,0.313,0.389,-3.694,0.0399,99.992
0.735,0.025,0.766,0.00138,0.108,0.6,-4.485,0.0383,127.985
0.494,0.000569,0.951,0.0,0.327,0.441,-4.237,0.132,160.025
0.753,0.171,0.657,0.0,0.112,0.437,-3.061,0.0449,107.01
0.747,0.135,0.716,0.0,0.251,0.751,-2.457,0.075,125.008
0.663,0.0338,0.861,0.0,0.082,0.654,-3.398,0.109,119.963
0.56,0.0594,0.857,0.0,0.381,0.432,-4.145,0.0384,119.975
0.624,0.0735,0.876,0.0,0.327,0.781,-3.374,0.1,99.943
0.669,0.192,0.939,0.0,0.295,0.53,-3.209,0.161,129.014
0.773,0.0422,0.758,0.0,0.305,0.925,-4.993,0.0381,144.033
0.627,0.13,0.792,3.97e-06,0.0845,0.415,-4.311,0.031,119.054
0.673,0.286,0.735,0.0,0.242,0.754,-4.733,0.0457,115.744
0.64,0.271,0.635,0.0,0.319,0.475,-7.565,0.226,100.034
0.72,0.0276,0.925,0.000238,0.14,0.781,-4.165,0.0511,127.004
0.755,0.0991,0.837,0.0,0.289,0.714,-2.718,0.142,120.028
0.747,0.0208,0.937,0.0,0.29,0.739,-5.746,0.0453,103.976
0.279,0.000185,0.742,0.0,0.593,0.328,-6.46,0.0898,189.868
0.722,0.0319,0.851,0.0,0.108,0.452,-3.873,0.0639,126.885
0.637,0.0177,0.93,0.0,0.452,0.886,-2.632,0.0511,90.014
0.664,0.613,0.573,0.000363,0.0857,0.566,-6.519,0.0277,76.023
0.728,0.0401,0.859,0.0,0.111,0.535,-5.237,0.137,65.043
0.768,0.101,0.864,0.0,0.162,0.891,-6.145,0.0324,110.008
0.709,0.207,0.824,0.000307,0.0888,0.867,-8.824,0.0453,118.818
0.692,0.23,0.786,0.0,0.0797,0.583,-2.959,0.069,100.025
0.762,0.015,0.863,0.0,0.125,0.965,-3.689,0.0561,106.012
0.56,0.0239,0.872,6.98e-06,0.371,0.682,-4.269,0.14,126.05
0.618,0.17,0.741,0.0,0.0822,0.296,-3.95,0.031,118.984
0.751,0.00379,0.783,0.0,0.036,0.816,-3.724,0.0859,119.975
0.527,0.0166,0.835,0.0,0.249,0.654,-5.298,0.0433,125.983
0.726,0.009,0.787,0.0,0.0596,0.888,-2.494,0.0737,124.99
0.783,0.0114,0.58,2.28e-06,0.108,0.66,-6.548,0.0408,120.021
0.758,0.0117,0.557,0.0,0.0418,0.781,-4.568,0.034,126.986
0.578,0.00701,0.866,0.0,0.257,0.619,-3.804,0.0619,128.038
0.766,0.00627,0.873,0.0,0.0764,0.743,-6.381,0.143,126.988
0.673,0.039,0.758,0.0,0.341,0.542,-3.632,0.158,135.956
0.647,0.0647,0.8,0.0,0.334,0.942,-5.384,0.165,160.078
0.768,0.101,0.864,0.0,0.162,0.891,-6.145,0.0324,110.008
0.72,0.0384,0.791,0.0,0.157,0.756,-4.689,0.124,102.071
0.652,0.00112,0.698,0.000115,0.0886,0.47,-4.667,0.042,96.021
0.743,0.0873,0.766,0.0,0.509,0.61,-6.375,0.0265,127.96
0.694,0.133,0.712,0.0,0.211,0.799,-3.923,0.046,98.022
0.652,0.00125,0.812,3.01e-05,0.667,0.72,-3.797,0.0409,126.023
0.777,0.0352,0.896,0.0,0.317,0.843,-4.467,0.0619,111.987
0.673,0.185,0.886,0.0,0.0826,0.795,-4.44,0.0431,97.012
0.652,0.0227,0.877,0.0,0.0789,0.486,-2.986,0.0465,118.491
0.62,0.332,0.832,0.0,0.104,0.481,-4.848,0.036,144.926
0.762,0.015,0.863,0.0,0.125,0.965,-3.689,0.0565,106.008
0.571,0.0608,0.815,0.0,0.163,0.664,-3.267,0.0321,120.008
0.699,0.0317,0.529,3.59e-05,0.285,0.121,-7.548,0.0487,119.987
0.7,0.0048,0.709,0.0,0.029,0.624,-5.006,0.0838,122.019
0.857,0.381,0.8,0.0,0.0913,0.966,-4.035,0.0583,121.996
0.554,0.00487,0.772,6.6e-06,0.354,0.455,-4.821,0.0418,179.984
0.673,0.0591,0.902,0.000262,0.0558,0.538,-2.392,0.0346,100.012
0.426,0.0383,0.584,0.0,0.188,0.272,-5.293,0.296,193.437
0.705,0.456,0.78,0.00152,0.115,0.457,-6.267,0.0805,142.028
0.581,0.0295,0.963,0.0,0.139,0.788,-4.087,0.0981,129.992
0.722,0.0117,0.761,0.0,0.315,0.624,-4.459,0.0475,128.044
0.624,0.0735,0.876,0.0,0.327,0.781,-3.374,0.1,99.943
0.673,0.286,0.735,0.0,0.242,0.754,-4.733,0.0457,115.744
0.638,0.141,0.832,0.0,0.113,0.648,-5.039,0.049,124.071
0.835,0.0336,0.669,6.92e-05,0.0535,0.542,-5.582,0.0643,122.668
0.636,0.0294,0.831,3.85e-06,0.272,0.668,-3.945,0.182,175.015
0.755,0.0991,0.837,0.0,0.289,0.714,-2.718,0.142,120.028
0.778,0.284,0.824,0.0,0.405,0.758,-5.892,0.0707,100.024
0.531,0.000105,0.864,2.05e-06,0.346,0.402,-2.978,0.0433,126.02
0.616,0.0283,0.869,0.0,0.064,0.473,-3.911,0.0327,127.966
0.258,0.065,0.919,0.0,0.279,0.636,-6.927,0.0809,93.62
0.706,0.26,0.786,0.0,0.38,0.751,-3.417,0.091,150.028
0.776,0.0234,0.693,0.00177,0.0322,0.635,-2.528,0.0314,102.996
0.637,0.0151,0.843,0.0,0.0876,0.434,-5.413,0.0432,109.012
0.532,0.0559,0.795,0.0,0.295,0.78,-3.979,0.0358,143.837
0.667,0.0123,0.83,0.0,0.191,0.701,-5.715,0.0749,113.03
0.687,0.327,0.785,0.0,0.203,0.655,-4.65,0.0333,106.046
0.699,0.00223,0.76,0.0,0.132,0.696,-3.173,0.0677,129.996
0.658,0.0629,0.837,0.0,0.0969,0.936,-2.063,0.0543,126.015
0.658,0.0144,0.863,0.000193,0.2,0.496,-4.64,0.0255,129.972
0.671,0.191,0.939,0.0,0.298,0.53,-3.206,0.161,129.024
0.758,0.0848,0.686,0.00127,0.142,0.444,-6.346,0.0792,130.007
0.587,0.00327,0.828,0.0,0.331,0.494,-5.108,0.161,123.907
0.553,0.0709,0.664,0.0056,0.106,0.467,-7.417,0.0741,140.06
0.765,0.00107,0.837,1.06e-05,0.0801,0.721,-3.113,0.032,122.028
0.584,6.52e-05,0.699,6.05e-05,0.486,0.585,-6.065,0.0378,82.499
0.791,0.00446,0.754,0.0,0.163,0.425,-3.729,0.0569,125.014
0.421,0.0654,0.873,0.0,0.123,0.629,-4.343,0.0564,84.786
0.663,0.0338,0.861,0.0,0.082,0.654,-3.398,0.109,119.963
0.746,0.0485,0.846,0.0,0.195,0.403,-2.432,0.048,114.955
0.811,0.0726,0.699,1.38e-06,0.148,0.733,-5.211,0.114,122.987
0.774,0.152,0.753,0.0,0.0371,0.896,-5.446,0.0517,119.002
0.494,0.000569,0.951,0.0,0.327,0.441,-4.237,0.132,160.025
0.794,0.237,0.832,1.14e-05,0.203,0.871,-4.862,0.0407,107.657
0.851,0.118,0.806,1.64e-06,0.121,0.787,-4.62,0.0787,118.999
0.421,0.0132,0.822,0.0,0.092,0.751,-4.415,0.0542,171.935
0.799,0.162,0.586,2.03e-06,0.193,0.549,-6.735,0.0377,120.97
0.827,0.184,0.576,0.029,0.0656,0.41,-7.774,0.0372,118.04
0.73,0.39,0.861,0.0,0.213,0.704,-4.1,0.0451,117.965
0.645,0.00809,0.921,1.08e-05,0.407,0.864,-5.256,0.0302,129.0
0.734,0.151,0.765,0.0,0.231,0.518,-5.562,0.0621,109.989
0.779,0.000155,0.64,0.00077,0.101,0.498,-8.415,0.159,99.019
0.632,0.0624,0.856,0.0,0.347,0.867,-3.463,0.0348,119.397
0.822,0.0264,0.739,4.26e-05,0.181,0.745,-4.541,0.0311,118.992
0.541,0.0178,0.899,2.95e-06,0.286,0.829,-6.261,0.0633,106.676
0.747,0.0208,0.937,0.0,0.29,0.739,-5.746,0.0453,103.976
0.851,0.568,0.541,0.0,0.13,0.448,-6.825,0.0505,124.959
0.722,0.0319,0.851,0.0,0.108,0.452,-3.873,0.0639,126.885
0.672,0.469,0.578,0.0,0.312,0.548,-6.621,0.0569,113.945
0.673,0.0248,0.842,0.0,0.294,0.509,-4.666,0.039,121.986
0.706,0.173,0.751,0.0,0.168,0.195,-6.323,0.0708,91.031
0.734,0.025,0.766,0.00138,0.108,0.6,-4.485,0.0383,127.986
0.787,0.0915,0.848,0.0,0.15,0.947,-4.696,0.0549,121.989
0.738,0.101,0.794,0.0,0.0533,0.566,-4.118,0.0416,104.014
0.704,0.0137,0.761,0.0,0.0487,0.907,-4.659,0.0347,97.002
0.607,0.0306,0.649,2.46e-05,0.174,0.505,-6.695,0.0362,102.996
0.657,0.0108,0.695,0.0,0.0822,0.683,-4.493,0.0321,65.997
0.706,0.0476,0.842,0.0,0.134,0.818,-4.628,0.038,104.958
0.657,0.581,0.639,0.0,0.278,0.674,-7.527,0.0412,124.882
0.68,0.175,0.942,0.0013,0.117,0.647,-4.208,0.0631,123.976
0.775,0.0506,0.825,1.03e-06,0.111,0.95,-5.402,0.0464,139.091
0.545,0.00617,0.675,0.00197,0.209,0.162,-6.474,0.0279,124.97
0.545,0.0309,0.78,4.64e-05,0.0828,0.458,-4.867,0.0436,125.014
0.731,0.0352,0.853,0.0,0.268,0.605,-4.219,0.0363,108.016
0.647,0.219,0.822,0.0,0.0908,0.962,-4.662,0.183,160.019
0.755,0.0635,0.751,0.0,0.0812,0.491,-4.034,0.0748,102.002
0.631,0.0841,0.924,3.59e-06,0.084,0.755,-5.589,0.146,100.045
0.856,0.00801,0.609,8.15e-05,0.0344,0.928,-7.223,0.0824,114.988
0.608,0.0991,0.86,0.0,0.262,0.437,-5.324,0.0554,127.075
0.495,0.00027,0.878,9.02e-05,0.07,0.825,-3.266,0.0361,193.947
0.768,0.109,0.919,1.14e-06,0.366,0.862,-6.066,0.0416,116.649
0.738,0.332,0.804,0.0,0.279,0.949,-3.851,0.0621,174.943
0.467,0.0866,0.757,0.0,0.0742,0.383,-3.01,0.0517,131.993
0.637,0.063,0.929,0.00796,0.318,0.604,-6.03,0.0447,136.482
0.752,0.0324,0.775,0.0,0.351,0.595,-7.289,0.0546,122.014
0.778,0.672,0.566,0.000197,0.0698,0.479,-6.959,0.0311,117.971
0.721,0.0921,0.802,0.0,0.694,0.724,-5.797,0.0583,124.022
0.655,0.1,0.791,0.000124,0.334,0.862,-8.923,0.0302,118.981
0.633,0.297,0.673,0.0,0.206,0.659,-6.403,0.258,86.776
0.679,0.333,0.903,0.0,0.372,0.872,-4.914,0.0463,108.114
0.711,0.00952,0.906,1.64e-05,0.153,0.824,-2.671,0.0284,125.916
0.666,0.123,0.968,0.0,0.347,0.834,-3.196,0.046,135.099
0.767,0.0113,0.682,0.00016,0.104,0.833,-5.02,0.042,127.975
0.706,0.0588,0.89,0.00286,0.306,0.684,-4.444,0.0688,128.011
0.726,0.049,0.698,0.0,0.309,0.867,-4.165,0.0431,143.994
0.801,0.0457,0.645,0.0,0.0357,0.824,-6.93,0.0356,110.01
0.74,0.0357,0.622,4.85e-05,0.356,0.556,-4.608,0.0446,104.966
0.843,0.14,0.881,0.0,0.0765,0.876,-3.951,0.0581,110.621
0.663,0.00127,0.95,0.00492,0.0753,0.697,-4.21,0.0621,116.02
0.607,0.0541,0.82,6.8e-05,0.269,0.768,-7.754,0.0597,126.988
0.707,0.0863,0.813,0.0,0.168,0.722,-4.515,0.0571,124.921
0.76,0.0144,0.801,1.49e-05,0.665,0.653,-3.769,0.0534,109.919
0.728,0.0144,0.892,0.0,0.469,0.826,-5.172,0.126,117.976
0.696,0.587,0.679,0.0,0.165,0.527,-7.363,0.0305,128.982
0.751,0.0206,0.736,0.0,0.265,0.352,-4.168,0.156,130.014
0.768,0.186,0.517,3.8e-05,0.104,0.418,-4.323,0.0312,104.992
0.719,0.00225,0.795,0.00664,0.34,0.844,-7.232,0.0387,124.694
0.807,0.0573,0.887,2.87e-06,0.124,0.961,-3.726,0.0503,134.052
0.719,0.0879,0.674,3.75e-06,0.112,0.843,-5.122,0.0681,125.98
0.56,0.0594,0.857,0.0,0.381,0.432,-4.145,0.0384,119.975
0.631,0.199,0.927,0.119,0.148,0.465,-2.787,0.0332,123.962
0.672,0.0048,0.907,3.4e-05,0.156,0.746,-5.069,0.0721,128.027
0.634,0.0771,0.69,0.0,0.132,0.645,-7.804,0.052,94.988
0.659,0.154,0.911,0.000304,0.191,0.576,-2.28,0.0786,91.999
0.738,0.131,0.864,3.22e-06,0.0683,0.961,-7.95,0.054,103.203
0.72,0.009,0.672,0.0,0.232,0.705,-6.852,0.0551,124.986
0.592,0.000219,0.842,0.0,0.0934,0.898,-6.681,0.0353,107.015
0.824,0.00521,0.836,0.000817,0.112,0.716,-5.903,0.0404,122.014
0.581,0.00424,0.801,0.00171,0.0326,0.692,-12.282,0.0306,128.179
0.796,0.427,0.845,0.000506,0.0567,0.904,-5.365,0.0374,130.231
0.745,0.153,0.869,0.0,0.139,0.963,-4.828,0.0574,125.005
0.636,0.0185,0.815,0.0,0.163,0.636,-5.098,0.0581,123.063
0.762,0.15,0.661,0.0,0.256,0.769,-6.075,0.0687,130.009
0.622,0.103,0.807,0.0,0.306,0.892,-6.752,0.408,174.06
0.674,0.347,0.937,0.0,0.702,0.834,-4.454,0.0699,96.051
0.744,0.00328,0.891,0.283,0.143,0.911,-7.271,0.0368,129.978
0.854,0.0242,0.766,0.0,0.0793,0.784,-4.697,0.141,118.004
0.681,0.357,0.697,0.0,0.388,0.775,-11.063,0.0327,119.956
0.624,0.305,0.868,1.38e-05,0.186,0.806,-5.867,0.0269,111.143
0.619,0.0194,0.72,1.68e-06,0.218,0.852,-6.584,0.0275,120.874
0.786,0.0114,0.876,0.000784,0.0796,0.966,-4.899,0.0362,103.983
0.528,0.0159,0.886,0.0,0.0758,0.8,-6.249,0.0329,96.001
0.686,0.0764,0.783,0.0,0.163,0.814,-4.977,0.119,99.978
0.791,0.037,0.862,2.19e-05,0.0814,0.592,-3.24,0.11,123.994
0.683,0.00481,0.937,0.0046,0.07,0.619,-6.335,0.0449,104.872
0.715,0.175,0.812,0.000134,0.044,0.554,-5.758,0.062,128.04
0.727,0.00417,0.937,0.0,0.091,0.749,-2.871,0.286,132.067
0.449,0.0509,0.585,8.75e-05,0.0833,0.212,-6.761,0.0268,139.631
0.751,0.0504,0.901,0.00308,0.0395,0.973,-5.802,0.0328,124.017
0.507,0.00963,0.847,0.0,0.146,0.564,-3.806,0.036,135.232
0.672,0.0362,0.655,0.0,0.117,0.556,-5.021,0.0311,134.945
0.688,0.0215,0.702,0.0,0.128,0.74,-4.792,0.0499,94.006
0.82,0.0133,0.731,1.94e-05,0.131,0.793,-6.02,0.159,127.076
0.655,0.14,0.822,0.0,0.298,0.859,-5.755,0.211,171.983
0.853,0.00334,0.599,7.93e-06,0.0759,0.843,-4.756,0.0411,119.993
0.811,0.0134,0.935,0.411,0.0244,0.968,-4.595,0.0407,138.479
0.678,0.467,0.61,0.0,0.397,0.919,-10.509,0.0306,117.04
0.874,0.0412,0.692,7.24e-05,0.324,0.937,-5.28,0.0431,116.017
0.899,0.0499,0.857,0.0299,0.112,0.961,-6.128,0.037,125.072
0.705,0.0978,0.936,0.000124,0.0506,0.939,-5.109,0.0306,109.004
0.668,0.0191,0.857,6.71e-06,0.0385,0.748,-2.944,0.0535,131.959
0.597,0.00427,0.837,0.00114,0.839,0.447,-6.518,0.375,126.342
0.425,0.00414,0.954,0.0,0.0555,0.933,-3.756,0.0476,178.043
0.627,0.468,0.768,0.0,0.126,0.802,-7.775,0.0625,100.071
0.731,0.0395,0.867,0.0,0.0861,0.776,-5.881,0.032,104.019
0.667,0.189,0.716,0.0,0.104,0.493,-5.21,0.0349,108.002
0.673,0.0325,0.819,0.000113,0.138,0.491,-4.272,0.0435,120.016
0.802,0.0011,0.903,0.0,0.173,0.96,-3.267,0.046,128.93
0.822,0.259,0.969,0.000153,0.39,0.765,-11.471,0.0582,128.007
0.797,0.0135,0.752,0.00496,0.264,0.801,-7.343,0.128,131.932
0.728,0.148,0.794,0.0,0.0688,0.523,-3.992,0.0635,112.071
0.683,0.0457,0.897,5.18e-06,0.286,0.752,-3.455,0.0465,103.051
0.726,0.00217,0.938,1.89e-06,0.286,0.978,-2.52,0.0419,126.024
0.556,0.0105,0.993,0.0341,0.403,0.702,-5.067,0.0464,124.016
0.828,0.548,0.56,3.66e-05,0.15,0.872,-6.685,0.0327,122.054
0.405,0.0948,0.846,0.0,0.0666,0.602,-3.57,0.195,82.232
0.849,0.00301,0.599,0.000249,0.0763,0.761,-8.164,0.227,126.003
0.788,0.25,0.844,0.000678,0.0723,0.382,-3.131,0.0334,113.324
0.702,0.014,0.875,0.0,0.0872,0.905,-3.588,0.0283,103.002
0.707,0.1,0.861,0.0,0.191,0.795,-4.225,0.316,130.021
0.801,0.144,0.876,1.38e-05,0.104,0.932,-3.94,0.0446,122.979
0.543,0.137,0.642,0.0,0.243,0.749,-6.533,0.0888,117.923
0.48,0.137,0.832,0.0,0.354,0.648,-5.663,0.0426,186.875
0.747,0.374,0.834,0.0,0.0586,0.687,-2.867,0.045,128.005
0.829,0.226,0.915,1.25e-05,0.246,0.779,-3.205,0.106,118.903
0.766,0.0263,0.563,0.683,0.115,0.964,-7.516,0.0339,126.007
0.727,0.103,0.974,0.000532,0.174,0.965,-2.261,0.0664,79.526
